_chiffre	freqfilm	freqlivre
1 39	0.11	0.00
1 3e	0.53	0.00
1 3ème	0.05	0.00
1 3h	0.05	0.00
1 4-6	0.05	0.00
1 4 000	0.05	0.00
1 4	4.57	0.00
1 4,5	0.05	0.00
1 4..	0.05	0.00
1 40 000	0.05	0.00
1 400	0.11	0.00
1 432	0.05	0.00
1 447	0.05	0.00
1 45 000	0.05	0.00
1 45e	0.05	0.00
1 47 956	0.05	0.00
1 485	0.00	0.07
1 49	0.05	0.00
1 491	0.05	0.00
1 492	0.16	0.00
1 4c	0.11	0.00
1 4ème	0.37	0.00
1 4h	0.11	0.00
1 5 000	0.53	0.00
1 5 000.1 5 000..	0.05	0.00
1 5 500	0.05	0.00
1 5	11.06	0.00
1 5/	0.05	0.00
1 50 000	0.37	0.00
1 50	1.70	0.00
1 500 000	0.05	0.14
1 500	2.55	0.54
1 500m	0.05	0.00
1 501	0.05	0.00
1 50ème	0.05	0.00
1 51 9	0.05	0.00
1 52	0.21	0.00
1 520	0.05	0.00
1 523	0.00	0.07
1 528	0.05	0.00
1 532	0.00	0.07
1 54	0.05	0.00
1 540	0.05	0.00
1 547	0.05	0.00
1 550	0.05	0.00
1 55ème	0.11	0.00
1 58	0.05	0.00
1 594	0.05	0.00
1 5e	0.64	0.00
1 5ème	0.32	0.00
1 5h	0.21	0.00
1 6-1	0.05	0.00
1 6	4.31	0.00
1 60	0.21	0.00
1 600 000	0.21	0.00
1 600	0.48	0.07
1 605	0.05	0.00
1 62	0.05	0.00
1 623	0.05	0.00
1 65	0.21	0.00
1 67	0.05	0.00
1 68	0.05	0.00
1 685	0.05	0.00
1 6e	0.11	0.00
1 6ème	0.21	0.00
1 6h	0.37	0.00
1 7-9	0.05	0.00
1 7 000	0.16	0.00
1 7	4.41	0.00
1 70 000	0.05	0.00
1 700	0.11	0.00
1 709	0.00	0.07
1 71	0.05	0.00
1 712	0.05	0.00
1 714	0.00	0.07
1 724	0.05	0.00
1 729	0.05	0.00
1 741	0.00	0.07
1 75 000	0.21	0.00
1 750 000	0.00	0.07
1 758 064 176	0.00	0.07
1 76	0.05	0.00
1 760	0.11	0.00
1 77 6	0.05	0.00
1 77	0.05	0.00
1 773	0.05	0.00
1 776	0.05	0.00
1 7e	0.05	0.00
1 7ème	0.11	0.00
1 7h	0.21	0.00
1 8 000	0.11	0.00
1 8	3.83	0.00
1 80	0.21	0.00
1 80°	0.05	0.00
1 800	0.37	0.14
1 85	0.11	0.00
1 857	0.05	0.00
1 87	0.16	0.00
1 870	0.05	0.00
1 876	0.27	0.00
1 878	0.11	0.00
1 893	0.05	0.00
1 897	0.05	0.00
1 898	0.05	0.00
1 8e	0.05	0.00
1 8é	0.11	0.00
1 8ème	0.05	0.00
1 8h	0.32	0.00
1 9 0	0.05	0.00
1 9	3.40	0.00
1 90	0.05	0.00
1 900	0.05	0.00
1 905	0.05	0.00
1 906	0.11	0.00
1 91 0	0.05	0.00
1 91 3	0.21	0.00
1 91 4	0.11	0.00
1 91 5	0.05	0.00
1 91 7	0.11	0.00
1 91 8	0.05	0.00
1 91	0.11	0.00
1 920	0.11	0.00
1 922	0.16	0.00
1 923	0.16	0.00
1 925	0.05	0.00
1 926	0.00	0.07
1 928	0.05	0.00
1 929	0.05	0.00
1 93 7	0.05	0.00
1 930-40	0.05	0.00
1 932	0.05	0.00
1 935	0.16	0.00
1 937	0.21	0.00
1 939	0.37	0.00
1 940	0.11	0.00
1 941	0.21	0.00
1 942	0.05	0.00
1 943	0.16	0.00
1 944	0.11	0.00
1 945	0.11	0.00
1 946	0.11	0.00
1 947	0.32	0.00
1 95	0.05	0.00
1 950	0.11	0.00
1 951	0.05	0.00
1 952	0.05	0.00
1 953	0.05	0.00
1 954	0.16	0.00
1 955	0.11	0.00
1 957	0.21	0.00
1 958	0.16	0.00
1 96	0.05	0.00
1 960	0.11	0.00
1 961	0.11	0.00
1 962	0.11	0.00
1 963	0.27	0.00
1 964	0.05	0.00
1 965	0.32	0.00
1 966	0.11	0.00
1 967	0.48	0.00
1 968	0.21	0.00
1 97 6	0.05	0.00
1 97	0.05	0.00
1 971	0.11	0.00
1 972	0.21	0.00
1 973	0.27	0.00
1 974	0.16	0.00
1 975	0.05	0.00
1 976	0.05	0.00
1 977	0.05	0.00
1 978	0.05	0.00
1 979	0.11	0.00
1 980	0.37	0.00
1 982	0.11	0.00
1 983	0.11	0.00
1 984	0.16	0.00
1 985	0.11	0.00
1 986	0.16	0.00
1 987	0.11	0.00
1 988	0.11	0.00
1 989	0.05	0.00
1 99	0.05	0.00
1 990	0.05	0.00
1 991	0.05	0.00
1 992	0.11	0.00
1 994	0.05	0.00
1 995	0.11	0.00
1 997	0.11	0.00
1 998	0.11	0.00
1 999	0.21	0.00
1 9e	0.11	0.00
1 9é	0.11	0.00
1 9ème	0.16	0.00
1 9h	0.74	0.00
1 er	5.90	8.58
¹	0.64	0.00
1	105.37	43.51
1$.5$	0.05	0.00
1%	0.05	0.00
1,000	0.48	0.00
1,000,000	0.05	0.00
1,02	0.05	0.00
1,04	0.05	0.00
1,1	0.05	0.00
1,12	0.00	0.20
1,2	0.37	0.00
1,2,3	0.05	0.00
1,2,3,4,5,6	0.05	0.00
1,2°	0.05	0.00
1,20	0.05	0.07
1,200	0.11	0.00
1,21	0.27	0.00
1,22	0.11	0.00
1,23	0.05	0.00
1,25	0.11	0.00
1,27	0.05	0.00
1,3	0.32	0.00
1,3..	0.05	0.00
1,30	0.00	0.07
1,300,000	0.11	0.00
1,4	0.05	0.00
1,400	0.05	0.00
1,400,000	0.05	0.00
1,5	1.81	0.27
1,5%sur	0.05	0.00
1,50	0.59	0.14
1,500,000	0.05	0.00
1,6	0.21	0.07
1,60	0.16	0.07
1,61	0.05	0.00
1,618	0.00	0.41
1,65	0.27	0.00
1,66	0.05	0.07
1,67	0.16	0.00
1,7	0.21	0.07
1,70	0.32	0.07
1,72	0.00	0.07
1,73	0.11	0.00
1,74	0.05	0.00
1,75	0.16	0.27
1,75m	0.05	0.00
1,76	0.16	0.00
1,78	0.16	0.00
1,8	0.21	0.07
1,80	0.37	0.34
1,800,000	0.05	0.00
1,82	0.00	0.07
1,83	0.05	0.00
1,85	0.32	0.00
1,850	0.05	0.00
1,85m	0.05	0.00
1,87	0.11	0.00
1,88	0.16	0.00
1,8m	0.11	0.00
1,9	0.05	0.00
1,90	0.05	0.00
1,900,000	0.05	0.00
1,93m	0.05	0.00
1,95	0.27	0.00
1,98	0.11	0.00
1...2	0.05	0.00
1...2..	0.21	0.00
1..050	0.00	0.07
1..2..3..	0.05	0.00
1..365	0.00	0.07
1..500	0.00	0.07
1..900	0.00	0.14
1.000	0.90	0.00
1.000.000	0.11	0.00
1.008	0.05	0.00
1.100	0.05	0.00
1.2	0.05	0.00
1.200	0.05	0.00
1.25	0.05	0.14
1.4	0.21	0.00
1.400	0.05	0.00
1.400... ..	0.05	0.00
1.5	0.32	0.00
1.50	0.05	0.07
1.500	0.37	0.00
1.6	0.11	0.00
1.75	0.00	0.07
1.79	0.11	0.00
1.820.000.8.060	0.05	0.00
1.99	0.05	0.00
1.c	0.27	0.00
1/0	0.21	0.00
1/10.000	0.05	0.00
1/1000es	0.00	0.07
1/100e	0.05	0.00
1/100ème	0.11	0.00
1/15e	0.00	0.07
1/16	0.05	0.00
1/160 000e	0.00	0.07
1/17ème	0.05	0.00
1/18e	0.05	0.00
1/2	3.35	0.95
1/2à	0.11	0.00
1/2h	0.21	0.00
1/3	0.32	0.07
1/4	0.80	0.00
1/5	0.11	0.00
1/6	0.59	0.00
1/8	0.05	0.00
1/8ème	0.11	0.00
¹«¼¼¿	0.05	0.00
¹«½¼	0.05	0.00
¹»·	0.05	0.00
¹®	0.05	0.00
1°	0.05	0.00
1°c	0.05	0.00
10'	0.32	0.07
10'3	0.05	0.00
10'3..	0.05	0.00
10-	0.05	0.00
10-0-7	0.05	0.00
10-07	0.11	0.00
10-1 7	0.05	0.00
10-10	0.05	0.00
10-11-92	0.05	0.00
10-11	0.00	0.07
10-12	0.05	0.00
10-14	0.00	0.07
10-15	0.21	0.00
10-18	0.05	0.00
10-20	0.11	0.00
10-27	0.05	0.00
10-4	0.21	0.00
10-40	0.11	0.00
10-45	0.11	0.00
10-82	0.11	0.00
10-85	0.11	0.00
10-90	0.05	0.00
10-98	0.05	0.00
10 000	10.21	0.47
10 000..	0.05	0.00
10 02	0.11	0.00
10 12	0.00	0.07
10 500 000	0.05	0.00
10 500	0.11	0.00
10 700	0.05	0.00
10	132.55	26.89
10%	0.05	0.00
10,000	1.06	0.00
10,000,000	0.11	0.00
10,15,20	0.05	0.00
10,2	0.05	0.00
10,5	0.05	0.07
10,80	0.00	0.14
10..	0.05	0.00
10...9	0.05	0.00
10...9...8...7..	0.05	0.00
10.000	2.66	0.00
10.000?	0.05	0.00
10.000ème	0.05	0.00
10.50€	0.05	0.00
10/1	0.05	0.00
10/10	0.16	0.00
10/10e	0.05	0.00
10/12/	0.05	0.00
10/20	0.32	0.00
10:00	0.05	0.00
10°	0.11	0.00
100-110	0.11	0.00
100 000 000	0.05	0.00
100 000	5.74	0.61
100 001	0.05	0.00
100 9	0.05	0.00
100 956	0.05	0.00
100	48.67	7.16
100%	0.11	0.00
100%la	0.05	0.00
100,000	0.96	0.00
100.000	1.49	0.00
100.000.000	0.05	0.00
100°	0.05	0.00
1000	14.79	1.96
1000$	0.05	0.00
10000	3.51	1.01
100000	2.07	0.95
1000e	0.00	0.14
1000ème	0.05	0.00
1001	0.21	0.00
1001m	0.05	0.00
100375	0.05	0.00
1004	0.27	0.00
1006	0.11	0.00
100e	0.37	0.07
100m	0.27	0.00
101	1.17	0.27
1012 3	0.00	0.07
1012	0.05	0.07
10145	0.05	0.00
1017	0.05	0.00
1019	0.11	0.07
10191	0.11	0.00
101e	0.53	0.00
101ème	0.74	0.00
102	0.53	0.74
10200	0.05	0.00
1021	0.00	0.14
10238	0.05	0.00
1024	0.05	0.00
1028	0.11	0.00
10283	0.05	0.00
102ème	0.05	0.00
103	0.37	0.27
1034	0.05	0.00
1037	0.05	0.00
103e	0.05	0.00
104	0.85	0.20
1040	0.05	0.00
1042	0.00	0.14
1049	0.05	0.00
104ème	0.05	0.00
105 000	0.05	0.00
105	1.33	1.15
10500	0.05	0.00
105000	0.00	0.07
1055	0.05	0.00
1056	0.05	0.00
105ème	0.05	0.00
106	0.37	1.42
1060	0.05	0.07
1066	0.21	0.00
1067	0.05	0.00
1068	0.05	0.00
106e	0.11	0.20
106ème	0.05	0.00
107 000	0.00	0.07
107 1	0.05	0.00
107	0.59	0.47
1070	0.05	0.14
1071	0.05	0.00
107160	0.05	0.00
107e	0.05	0.07
108	2.18	0.47
10832	0.05	0.00
1084	0.00	0.07
10842	0.00	0.07
108576329	0.00	0.07
1087	0.05	0.00
1088	0.05	0.00
108ème	0.05	0.00
109 000	0.05	0.00
109	0.69	0.54
10900	0.05	0.00
1091	0.05	0.00
1095	0.11	0.00
10950	0.11	0.00
1096	0.05	0.00
10961	0.05	0.00
109672	0.11	0.00
109700	0.05	0.00
1098	0.05	0.00
1099	0.05	0.00
109ème	0.11	0.00
10c	0.05	0.00
10é	0.11	0.00
10e	1.33	0.41
10ème	1.97	0.00
10h	2.50	0.00
10h02	0.05	0.00
10h10	0.05	0.00
10h30	0.05	0.00
10m	0.27	0.00
10s	0.00	0.07
11'47"	0.05	0.00
11-1	0.05	0.00
11-13	0.00	0.07
11-14	0.11	0.00
11-2	0.05	0.00
11-3	0.00	0.07
11-350	0.11	0.00
11-99	0.11	0.00
11 000	0.05	0.00
11 11	0.05	0.00
11 127	0.05	0.00
11 500	0.05	0.00
¹¹	0.05	0.00
11	29.41	17.03
11,40	0.05	0.00
11,43	0.00	0.07
11,5	0.05	0.00
11,7	0.11	0.00
11,75	0.05	0.00
11..43	0.00	0.07
11.00	0.05	0.00
11.000	0.05	0.00
11.05.88	0.05	0.00
11.500	0.05	0.00
11.9	0.05	0.00
11/20	0.05	0.00
11/3/93	0.05	0.00
11/9/40	0.05	0.00
¹¹¶	0.05	0.00
110-90	0.05	0.00
110	2.61	0.88
110,000	0.05	0.00
1100	0.21	0.27
1100$	0.05	0.00
11000	0.37	0.07
110000	0.00	0.07
1102	0.11	0.07
1106	0.05	0.00
1108	0.16	0.00
1109	0.16	0.07
110ème	0.11	0.00
111	2.34	0.14
1112	0.00	0.14
1116	0.00	0.07
1117	0.16	0.00
111ème	0.05	0.00
112 000	0.05	0.00
112	0.69	0.20
112.000	0.05	0.00
1120	0.05	0.00
112004-c	0.05	0.00
1125	0.05	0.00
113	0.32	0.41
113,37	0.05	0.00
1138	0.74	0.00
1139	0.00	0.07
113ème	0.05	0.00
114	0.64	0.47
1142	0.00	0.07
114ème	0.05	0.00
115 000	0.05	0.00
115	0.37	1.08
115,098	0.00	0.07
1150	0.16	0.00
1152	0.05	0.07
1156	0.05	0.00
1158	0.11	0.00
115e	0.05	0.00
116 000	0.05	0.00
116	0.27	0.27
116/72	0.05	0.00
116000	0.00	0.07
1165 02	0.05	0.00
116ème	0.11	0.00
117	0.21	0.47
1170	0.00	0.07
1171	0.05	0.00
1177	0.05	0.00
118	0.48	0.27
118,47	0.00	0.07
118,75	0.00	0.07
118€	0.05	0.00
1180	0.00	0.07
1182	0.00	0.20
1184	0.05	0.00
1189	0.05	0.00
119	0.27	0.34
119,851	0.00	0.07
1190	0.00	0.07
1195	0.00	0.07
1197	0.00	0.07
1199	0.00	0.07
11a	0.21	0.00
11é	0.05	0.00
11e	0.59	0.47
11ème	0.74	0.00
11h	1.91	0.00
11h00	0.05	0.00
11h30	0.11	0.00
11h45	0.05	0.00
11o	0.00	0.07
12- 22	0.05	0.00
12-13	0.00	0.07
12-14	0.05	0.00
12-15	0.05	0.07
12-203	0.05	0.00
12-29	0.05	0.00
12-3	0.05	0.00
12-4-46	0.00	0.07
12-7	0.05	0.00
12-8-1963	0.00	0.07
12 000	0.96	0.27
12 000e	0.05	0.00
12 100	0.05	0.00
12 500	0.05	0.00
12 752	0.05	0.00
12 884	0.00	0.07
12	51.33	18.24
12,000	0.11	0.00
12,3	0.05	0.00
12,300	0.05	0.00
12,5	0.32	0.00
12,60	0.05	0.00
12,75	0.05	0.00
12,90	0.05	0.00
12,95	0.11	0.00
12. m	0.05	0.00
12."	0.05	0.00
12...11...10	0.05	0.00
12.000	0.48	0.00
12.39	0.05	0.00
12.5	0.05	0.00
12.9	0.05	0.00
12/20	0.11	0.00
12/7/08	0.00	0.07
12/8	0.05	0.00
12°	0.11	0.00
120 000	0.11	0.00
120 000.150 000.180.190	0.05	0.00
120	3.88	1.82
120,958	0.00	0.07
120.000	0.11	0.00
120/80	0.05	0.00
1200	2.87	0.68
12000	0.27	0.68
120000	0.27	0.27
1200000	0.00	0.27
1201	0.16	0.00
1203	0.00	0.07
1204	0.00	0.14
1205	0.11	0.00
1209	0.00	0.07
121	0.53	0.07
1211	0.00	0.07
1212	0.05	0.07
1214	0.05	0.00
1215	0.00	0.07
12185	0.05	0.00
122	0.48	0.20
1220	0.05	0.14
1221	0.16	0.00
1222	0.00	0.27
1225	0.05	0.00
1226	0.00	0.68
1227	0.00	0.20
12278	0.05	0.00
1229	0.00	0.07
123-025-3964	0.11	0.00
123 456	0.00	0.07
123	2.61	0.54
123.9	0.05	0.00
123123123	0.05	0.00
1233	0.00	0.14
1234	0.05	0.07
1235	0.00	0.07
1236	0.00	0.07
124-9	0.05	0.00
124	0.32	0.34
1240	0.05	0.07
124000	0.05	0.00
1242	0.21	0.00
1243	0.11	0.00
1245	0.00	0.07
1246	0.00	0.07
1247	0.00	0.20
125 000	0.21	0.00
125	1.22	0.88
1250-1305	0.00	0.07
1250	0.16	0.00
12500	0.05	0.00
125000	0.05	0.14
1251	0.00	0.07
1253	0.00	0.07
1254	0.00	0.07
125e	0.05	0.20
126	0.16	0.14
126.410	0.05	0.00
126.9	0.05	0.00
1260	0.11	0.00
12600	0.11	0.00
1268	0.00	0.07
126ème	0.05	0.00
127 000	0.05	0.00
127	0.59	0.27
127.1	0.05	0.00
1270	0.00	0.07
1275 02	0.05	0.00
128 000	0.05	0.00
128	0.48	0.27
1280	0.00	0.07
1280,2	0.00	0.07
128e	0.05	0.00
129	0.11	0.07
1290	0.05	0.14
1291	0.00	0.07
1292	0.00	0.34
1296	0.11	0.00
1298	0.11	0.00
12c	0.05	0.00
12é	0.05	0.00
12e	0.48	0.41
12eme	0.11	0.00
12ème	1.54	0.00
12h	0.96	0.00
12h30	0.05	0.00
12h45	0.05	0.00
12j	0.11	0.00
13-14	0.00	0.07
13-21	0.11	0.00
13-6-90	0.05	0.00
13-7,5	0.05	0.00
13 000	0.32	0.00
13 500	0.05	0.00
13 9	0.00	0.07
13	24.79	14.39
13!	0.05	0.00
13,5	0.11	0.00
13,65	0.00	0.07
13,75	0.11	0.00
13,8	0.05	0.00
13,82	0.00	0.07
13,95	0.00	0.07
13.500	0.05	0.00
13.523.501	0.05	0.00
13.7	0.05	0.00
13/07	0.11	0.00
130-140	0.11	0.00
130 000	0.11	0.00
130	2.13	1.22
130.000	0.11	0.00
130/85	0.05	0.00
130/90	0.05	0.00
1300	0.90	0.47
13000	0.11	0.07
130000	0.05	0.07
1300000	0.00	0.07
1303	0.00	0.07
1305	0.05	0.00
13066266	0.05	0.00
1308	0.00	0.07
131-2	0.05	0.00
131 250	0.05	0.00
131	0.11	0.07
1313	0.00	0.07
1314	0.05	0.00
132 000	0.05	0.00
132	0.27	1.76
1320	0.00	0.07
1321	0.00	0.07
1323	0.00	0.14
1325	0.00	0.07
1328	0.05	0.00
1329	0.00	0.07
132e	0.05	0.20
133	0.05	0.27
1336	0.00	0.07
134	0.21	0.20
1340	0.59	0.00
1344	0.05	0.00
134e	0.05	0.00
135	0.74	0.54
135,27	0.05	0.00
1350	0.21	0.20
135000	0.05	0.07
1351	0.00	0.07
1352,3	0.00	0.07
1353	0.00	0.07
136	0.21	0.20
1362	0.05	0.07
1364	0.05	0.00
136890	0.05	0.00
136c	0.05	0.00
137	0.64	0.14
137,80	0.00	0.07
1375	0.05	0.07
1378	0.00	0.07
138	0.32	0.20
1385	0.00	0.07
1388	0.00	0.14
138e	0.05	0.00
139	0.16	0.20
1390	0.05	0.00
139000	0.05	0.00
1394	0.00	0.07
1399	0.05	0.00
13é	0.05	0.00
13e	0.64	0.14
13ème	1.60	0.00
13er	0.05	0.00
13ère	0.05	0.00
13h	0.69	0.00
13q	0.05	0.00
14-12	0.00	0.07
14-13	0.11	0.00
14-15	0.00	0.20
14-16	0.00	0.07
14-18	0.27	4.19
14-19,5	0.05	0.00
14-2-84	0.05	0.00
14-3-1	0.05	0.00
14-323	0.05	0.00
14-4-37	0.00	0.07
14-4	0.05	0.00
14-8	0.05	0.00
14-a	0.05	0.00
14-g	0.05	0.00
14 000	0.32	0.20
14 234	0.05	0.00
14 800	0.05	0.00
14	29.89	27.97
14,000	0.05	0.00
14,12	0.05	0.00
14,20	0.05	0.00
14,4	0.05	0.00
14,5	0.05	0.07
14,50	0.11	0.00
14,80	0.05	0.00
14.000	0.21	0.00
14.3.88	0.05	0.00
14.6	0.11	0.00
